File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000WDH	bam	alignments	ENCSR000DZP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					SMC3-human	ENCAB000AKX	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							536963972	Michael Snyder, Stanford	a4cbb7fd953957e502d8619ccace4ad1	https://www.encodeproject.org/files/ENCFF000WDH/@@download/ENCFF000WDH.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WDN	bam	alignments	ENCSR000DZP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					SMC3-human	ENCAB000AKX	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							662412955	Michael Snyder, Stanford	ba46b6d5d79b7f6357190155ff3b3a9d	https://www.encodeproject.org/files/ENCFF000WDN/@@download/ENCFF000WDN.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VAI	bam	alignments	ENCSR000CWV	RIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PABPC1-human	ENCAB000AJQ	DNA		see document	see document		2011-08-29	ENCODE		see document			2	1							1249691629	Scott Tenenbaum, SUNY-Albany	7bc706622e3e5c18d2517001d39b63c6	https://www.encodeproject.org/files/ENCFF000VAI/@@download/ENCFF000VAI.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VAJ	bam	alignments	ENCSR000CWV	RIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PABPC1-human	ENCAB000AJQ	DNA		see document	see document		2011-08-29	ENCODE		see document			1	1							1289548294	Scott Tenenbaum, SUNY-Albany	0893917404fc33e60c261cc9588c9732	https://www.encodeproject.org/files/ENCFF000VAJ/@@download/ENCFF000VAJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF171CGJ	bam	alignments	ENCSR000AJC	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHT, ENCFF700TXC	2700328939	ENCODE Processing Pipeline	15f923e3c7a24250e81b466adf7ed675	https://www.encodeproject.org/files/ENCFF171CGJ/@@download/ENCFF171CGJ.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF084RZU	bam	alignments	ENCSR000AJC	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHT, ENCFF839KAI	3393143283	ENCODE Processing Pipeline	a039d7b0327c5d7dd6ea93e502e0d9a9	https://www.encodeproject.org/files/ENCFF084RZU/@@download/ENCFF084RZU.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF203SNE	bam	transcriptome alignments	ENCSR000AJC	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHT, ENCFF839KAI	3709658857	ENCODE Processing Pipeline	915c8063fabe4b1f9350364831156e06	https://www.encodeproject.org/files/ENCFF203SNE/@@download/ENCFF203SNE.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF241EQR	bam	alignments	ENCSR000AJC	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHT, ENCFF742NER	3366783786	ENCODE Processing Pipeline	0d4d0454ea9e95e96d29419835522780	https://www.encodeproject.org/files/ENCFF241EQR/@@download/ENCFF241EQR.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF758FGF	bam	transcriptome alignments	ENCSR000AJC	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHT, ENCFF742NER	3798619302	ENCODE Processing Pipeline	d2c37eee29b8b28b6a622d55a9777616	https://www.encodeproject.org/files/ENCFF758FGF/@@download/ENCFF758FGF.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF000WAJ	bam	alignments	ENCSR000DZD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EP300-human	ENCAB000AJM	DNA					2012-05-14	ENCODE			150-350		1	1							572644177	Michael Snyder, Stanford	0c929d2fa8d48a537fc2225478706e8e	https://www.encodeproject.org/files/ENCFF000WAJ/@@download/ENCFF000WAJ.bam	hg19			released				
ENCFF000WAR	bam	alignments	ENCSR000DZD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EP300-human	ENCAB000AJM	DNA					2012-05-14	ENCODE			150-350		2	1							510736714	Michael Snyder, Stanford	46dd1386d8e1eeaa5816c651b95c7e5f	https://www.encodeproject.org/files/ENCFF000WAR/@@download/ENCFF000WAR.bam	hg19			released				
ENCFF000LCZ	bam	alignments	ENCSR000BCA	RNA-PET	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		cytosol					polyadenylated mRNA		see document	see document		2011-10-17	ENCODE		see document	>200		1	1						ENCFF000LDO, ENCFF000LDV	257866301	Yijun Ruan, GIS	02bef90485e98b5397a70af77f3fa245	https://www.encodeproject.org/files/ENCFF000LCZ/@@download/ENCFF000LCZ.bam	hg19			released				
ENCFF000LDH	bam	alignments	ENCSR000BCA	RNA-PET	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		cytosol					polyadenylated mRNA		see document	see document		2011-10-17	ENCODE		see document	>200		1	1						ENCFF000LDO, ENCFF000LDV	1860171450	Yijun Ruan, GIS	017e887899fc0f28b36cb71fe498f583	https://www.encodeproject.org/files/ENCFF000LDH/@@download/ENCFF000LDH.bam	hg19			released				
ENCFF000JAK	bam	alignments	ENCSR000CQW	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		nucleus					RNA	rRNA	see document	see document		2012-02-22	ENCODE		see document	<200		1	1						ENCFF000JAX	880912836	Thomas Gingeras, CSHL	302ca6e4b1ea53fbe1d3e68cf0a59670	https://www.encodeproject.org/files/ENCFF000JAK/@@download/ENCFF000JAK.bam	hg19			released				
ENCFF000JAP	bam	alignments	ENCSR000CQW	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		nucleus					RNA	rRNA	see document	see document		2012-02-22	ENCODE		see document	<200		2	1						ENCFF000JAY	1241807484	Thomas Gingeras, CSHL	23650e6de625f0de1148522020e302c9	https://www.encodeproject.org/files/ENCFF000JAP/@@download/ENCFF000JAP.bam	hg19			released				
ENCFF000NVG	bam	alignments	ENCSR000BKA	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ETS1-human	ENCAB000AGG	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							693766087	Richard Myers, HAIB	42aa302e95ac2b21de910709447c584a	https://www.encodeproject.org/files/ENCFF000NVG/@@download/ENCFF000NVG.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NVL	bam	alignments	ENCSR000BKA	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ETS1-human	ENCAB000AGG	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							701022640	Richard Myers, HAIB	515504ae91539f0f653c44a08f0578ee	https://www.encodeproject.org/files/ENCFF000NVL/@@download/ENCFF000NVL.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NYS	bam	alignments	ENCSR000BHB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EP300-human	ENCAB000AJM	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							852373336	Richard Myers, HAIB	07e7eb98afe186496a387c34b4699b9a	https://www.encodeproject.org/files/ENCFF000NYS/@@download/ENCFF000NYS.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NYW	bam	alignments	ENCSR000BHB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EP300-human	ENCAB000AJM	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							1341600814	Richard Myers, HAIB	6a14de4571be25a5eb6dffbb8469b43d	https://www.encodeproject.org/files/ENCFF000NYW/@@download/ENCFF000NYW.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NSA	bam	alignments	ENCSR000BJY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ATF3-human	ENCAB000ADZ	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							800024561	Richard Myers, HAIB	0bca8be29a48821c63523006211ef786	https://www.encodeproject.org/files/ENCFF000NSA/@@download/ENCFF000NSA.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NSD	bam	alignments	ENCSR000BJY	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ATF3-human	ENCAB000ADZ	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							706948938	Richard Myers, HAIB	3a48c9b3774d5ef5bce9778689f8ec0a	https://www.encodeproject.org/files/ENCFF000NSD/@@download/ENCFF000NSD.bam	hg19			released		biological replicates with identical biosample		
ENCFF454JRE	bam	alignments	ENCSR000AJH	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHR, ENCFF700TXC	3119130873	ENCODE Processing Pipeline	4b1c3e5f1530d5e0cfb16df374f46a61	https://www.encodeproject.org/files/ENCFF454JRE/@@download/ENCFF454JRE.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF888TNZ	bam	alignments	ENCSR000AJH	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHR, ENCFF839KAI	3861889099	ENCODE Processing Pipeline	ba855e7379d1a2a0950f17e9f5eb45cc	https://www.encodeproject.org/files/ENCFF888TNZ/@@download/ENCFF888TNZ.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF961WVU	bam	transcriptome alignments	ENCSR000AJH	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHR, ENCFF839KAI	4569758096	ENCODE Processing Pipeline	0c86895952b4a246fc6769531d7287f6	https://www.encodeproject.org/files/ENCFF961WVU/@@download/ENCFF961WVU.bam	hg19			released		NTR assay, inconsistent assay_term_id		
ENCFF356GWY	bam	alignments	ENCSR000AJH	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHR, ENCFF742NER	3865763800	ENCODE Processing Pipeline	4e77ff453e0e11a64cbf667f8c1764d0	https://www.encodeproject.org/files/ENCFF356GWY/@@download/ENCFF356GWY.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF428GZF	bam	transcriptome alignments	ENCSR000AJH	single cell isolation followed by RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							RNA		None	72 degrees for 3 minutes in the presence of Triton		2014-06-30	ENCODE		chemical (Nextera tagmentation)	>200		1	1						ENCFF002BHR, ENCFF742NER	4685590463	ENCODE Processing Pipeline	41f0d42d266bda8c566a67d036a2b858	https://www.encodeproject.org/files/ENCFF428GZF/@@download/ENCFF428GZF.bam	GRCh38			released		NTR assay, inconsistent assay_term_id		
ENCFF000WDP	bam	alignments	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							461156548	Kevin Struhl, HMS	7a40730c0d9c4556f6c166aa720d9380	https://www.encodeproject.org/files/ENCFF000WDP/@@download/ENCFF000WDP.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WDR	bam	alignments	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							504389596	Kevin Struhl, HMS	ccfac9fc42b197d9078bbf0f203a7a96	https://www.encodeproject.org/files/ENCFF000WDR/@@download/ENCFF000WDR.bam	hg19			released		biological replicates with identical biosample		
ENCFF000SKV	bam	alignments	ENCSR000EJD	DNase-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE		see document			1	1							1615993569	Gregory Crawford, Duke	5476da9356e7261da2c6b5e3ee733a3a	https://www.encodeproject.org/files/ENCFF000SKV/@@download/ENCFF000SKV.bam	hg19			released		biological replicates with identical biosample		
ENCFF000SKW	bam	alignments	ENCSR000EJD	DNase-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE		see document			2	1							320605514	Gregory Crawford, Duke	6948980428a5255c9b76f6af02d7fb71	https://www.encodeproject.org/files/ENCFF000SKW/@@download/ENCFF000SKW.bam	hg19			released		biological replicates with identical biosample		
ENCFF000SKZ	bam	alignments	ENCSR000EJD	DNase-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE		see document			3	1							1726821311	Gregory Crawford, Duke	ef367e8ed67efe0266dcc9cef2884ff1	https://www.encodeproject.org/files/ENCFF000SKZ/@@download/ENCFF000SKZ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000SLB	bam	alignments	ENCSR000EJD	DNase-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE		see document			4	1			single-ended				2035968241	Gregory Crawford, Duke	7ea20d0fcd4e528591796032113e9e20	https://www.encodeproject.org/files/ENCFF000SLB/@@download/ENCFF000SLB.bam	hg19			released		biological replicates with identical biosample		
ENCFF000SLD	bam	alignments	ENCSR000EJD	DNase-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE		see document			5	1			single-ended				2241244597	Gregory Crawford, Duke	ad1d7a3a18cfb39e7f4c1bd2dbbcbc83	https://www.encodeproject.org/files/ENCFF000SLD/@@download/ENCFF000SLD.bam	hg19			released		biological replicates with identical biosample		
ENCFF001GNJ	bam	alignments	ENCSR000CXJ	Repli-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens			G1b				DNA		see document	see document		2012-02-14	ENCODE		see document			1	1						ENCFF001GNU	96501169	John Stamatoyannopoulos, UW	608164b48a9d4fbbb8a330cd170b2c6f	https://www.encodeproject.org/files/ENCFF001GNJ/@@download/ENCFF001GNJ.bam	hg19			released				
ENCFF000NUO	bam	alignments	ENCSR000BRG	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					EGR1-human	ENCAB000ASX	DNA		see document	see document		2012-02-29	ENCODE		see document			3	1							1502945345	Richard Myers, HAIB	46f751378a350a44034c0a79c3c5577a	https://www.encodeproject.org/files/ENCFF000NUO/@@download/ENCFF000NUO.bam	hg19			released				
ENCFF000LDT	bam	alignments	ENCSR000BCB	RNA-PET	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		nucleus					polyadenylated mRNA		see document	see document		2011-10-17	ENCODE		see document	>200		1	1						ENCFF000LEC, ENCFF000LED	253114105	Yijun Ruan, GIS	f0d5c607ffef0469a68169066d68f69e	https://www.encodeproject.org/files/ENCFF000LDT/@@download/ENCFF000LDT.bam	hg19			released				
ENCFF000WGH	bam	alignments	ENCSR000EUM	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					YY1-human	ENCAB000ANS	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							948311619	Peggy Farnham, USC	0598bca3cebdea8c2a2c2216a5a1844a	https://www.encodeproject.org/files/ENCFF000WGH/@@download/ENCFF000WGH.bam	hg19			released				
ENCFF000WGI	bam	alignments	ENCSR000EUM	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					YY1-human	ENCAB000ANS	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							755522287	Peggy Farnham, USC	68b9eeff1db0e056820ef747b7daa3a3	https://www.encodeproject.org/files/ENCFF000WGI/@@download/ENCFF000WGI.bam	hg19			released				
ENCFF000ODC	bam	alignments	ENCSR000BGJ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							210772512	Richard Myers, HAIB	0939616c629064efacfeb87ca8248e8c	https://www.encodeproject.org/files/ENCFF000ODC/@@download/ENCFF000ODC.bam	hg19			released		biological replicates with identical biosample		
ENCFF000ODD	bam	alignments	ENCSR000BGJ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							166411227	Richard Myers, HAIB	c13dec074bc3724162c9406a991922ba	https://www.encodeproject.org/files/ENCFF000ODD/@@download/ENCFF000ODD.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WGJ	bam	alignments	ENCSR000DZL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ZNF143-human	ENCAB000AMR	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							474113513	Michael Snyder, Stanford	f53ce82d7d265d978692b9f33021b99b	https://www.encodeproject.org/files/ENCFF000WGJ/@@download/ENCFF000WGJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WGL	bam	alignments	ENCSR000DZL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					ZNF143-human	ENCAB000AMR	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							395884406	Michael Snyder, Stanford	0b2173463b42dd711e5d50002fb9cfc0	https://www.encodeproject.org/files/ENCFF000WGL/@@download/ENCFF000WGL.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OGZ	bam	alignments	ENCSR000BNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					YY1-human	ENCAB000ANT	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							647269454	Richard Myers, HAIB	a6b5132b35204d66234e725e207fc24e	https://www.encodeproject.org/files/ENCFF000OGZ/@@download/ENCFF000OGZ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OHC	bam	alignments	ENCSR000BNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					YY1-human	ENCAB000ANT	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							904794966	Richard Myers, HAIB	f092e703dcadae39bc6b23822d35cf98	https://www.encodeproject.org/files/ENCFF000OHC/@@download/ENCFF000OHC.bam	hg19			released		biological replicates with identical biosample		
ENCFF001HHW	bam	alignments	ENCSR000DRV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-02-11	ENCODE		see document			1	1						ENCFF001HID	657417888	John Stamatoyannopoulos, UW	6164cad5393282dd732ffccbffa0509c	https://www.encodeproject.org/files/ENCFF001HHW/@@download/ENCFF001HHW.bam	hg19			released				
ENCFF504ALV	bam	unfiltered alignments	ENCSR000DRV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-02-11	ENCODE					1			36				ENCFF001HID, ENCFF643CGH	869085559	ENCODE Processing Pipeline	cb3bf9763c584088346ed312667d928b	https://www.encodeproject.org/files/ENCFF504ALV/@@download/ENCFF504ALV.bam	GRCh38			released				
ENCFF094HMB	bam	alignments	ENCSR000DRV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-02-11	ENCODE					1			36				ENCFF001HID, ENCFF643CGH	588161884	ENCODE Processing Pipeline	7ff192c05f9fdee064b72f68df682de8	https://www.encodeproject.org/files/ENCFF094HMB/@@download/ENCFF094HMB.bam	GRCh38			released				
ENCFF000VAP	bam	alignments	ENCSR000CWU	RIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-08-29	ENCODE		see document			1	1							1410686957	Scott Tenenbaum, SUNY-Albany	520ae680dd974c1cc5e25053f1a4e6dd	https://www.encodeproject.org/files/ENCFF000VAP/@@download/ENCFF000VAP.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VAR	bam	alignments	ENCSR000CWU	RIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					Control-human		DNA		see document	see document		2011-08-29	ENCODE		see document			2	1							1189430542	Scott Tenenbaum, SUNY-Albany	d4bbb373f592be5c808ada966f9c1952	https://www.encodeproject.org/files/ENCFF000VAR/@@download/ENCFF000VAR.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WCJ	bam	alignments	ENCSR000EYU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR3G-human	ENCAB000AKB	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							133370281	Sherman Weissman, Yale	b0f751708adbdee8cf0f6a2b44662129	https://www.encodeproject.org/files/ENCFF000WCJ/@@download/ENCFF000WCJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000WCK	bam	alignments	ENCSR000EYU	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					POLR3G-human	ENCAB000AKB	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							159927609	Sherman Weissman, Yale	891ca9871128c2587420673385518298	https://www.encodeproject.org/files/ENCFF000WCK/@@download/ENCFF000WCK.bam	hg19			released		biological replicates with identical biosample		
ENCFF000THT	bam	alignments	ENCSR000DBY	FAIRE-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-03-21	ENCODE		see document			1	1			single-ended				1441512760	Jason Lieb, UNC	4399af72674f5685e02ac19dedf794cc	https://www.encodeproject.org/files/ENCFF000THT/@@download/ENCFF000THT.bam	hg19			released		biological replicates with identical biosample		
ENCFF000THU	bam	alignments	ENCSR000DBY	FAIRE-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-03-21	ENCODE		see document			2	1			single-ended				1573201105	Jason Lieb, UNC	147759a588c9b1f4c6a477995ebc8302	https://www.encodeproject.org/files/ENCFF000THU/@@download/ENCFF000THU.bam	hg19			released		biological replicates with identical biosample		
ENCFF000THX	bam	alignments	ENCSR000DBY	FAIRE-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2011-03-21	ENCODE		see document			3	1							1995677917	Jason Lieb, UNC	124d04c3fb07c22cc7c9abe39a8780b1	https://www.encodeproject.org/files/ENCFF000THX/@@download/ENCFF000THX.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NZP	bam	alignments	ENCSR000BGR	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PBX3-human	ENCAB000AJU	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							824327593	Richard Myers, HAIB	48a26cfaef9f38fd5058ddf2235c673d	https://www.encodeproject.org/files/ENCFF000NZP/@@download/ENCFF000NZP.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NZR	bam	alignments	ENCSR000BGR	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					PBX3-human	ENCAB000AJU	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							890020471	Richard Myers, HAIB	703340fad3b63649b18aaa7ee634a12b	https://www.encodeproject.org/files/ENCFF000NZR/@@download/ENCFF000NZR.bam	hg19			released		biological replicates with identical biosample		
ENCFF001GNO	bam	alignments	ENCSR703BOK	Repli-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens			G2				DNA		see document	see document		2012-02-14	ENCODE		see document			1	1						ENCFF001GOB	84233345	John Stamatoyannopoulos, UW	b51ebbb8c57deabb754d795449eeb736	https://www.encodeproject.org/files/ENCFF001GNO/@@download/ENCFF001GNO.bam	hg19			released				
ENCFF000VXV	bam	alignments	ENCSR000DZF	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MAX-human	ENCAB000AIL	DNA		see document	see document		2012-05-14	ENCODE		see document			1	1							532941923	Michael Snyder, Stanford	9cf9374fa8c6d93c84b0198f5b634ce0	https://www.encodeproject.org/files/ENCFF000VXV/@@download/ENCFF000VXV.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VXW	bam	alignments	ENCSR000DZF	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MAX-human	ENCAB000AIL	DNA		see document	see document		2012-05-14	ENCODE		see document			2	1							560370485	Michael Snyder, Stanford	826719966d63c2475c37c7c55535b9f7	https://www.encodeproject.org/files/ENCFF000VXW/@@download/ENCFF000VXW.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NWO	bam	alignments	ENCSR000BKB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MEF2A-human	ENCAB000AIQ	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							446351594	Richard Myers, HAIB	445b6a8ad57ecd0f738a45dd315d2a71	https://www.encodeproject.org/files/ENCFF000NWO/@@download/ENCFF000NWO.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NWR	bam	alignments	ENCSR000BKB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					MEF2A-human	ENCAB000AIQ	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							782651201	Richard Myers, HAIB	e2756e0740c6f7524dd7e494512f995f	https://www.encodeproject.org/files/ENCFF000NWR/@@download/ENCFF000NWR.bam	hg19			released		biological replicates with identical biosample		
ENCFF000VSZ	bam	alignments	ENCSR000EYZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					FOS-human	ENCAB000AEQ	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							166650477	Sherman Weissman, Yale	b93933f5ceee4605905d947a4681879d	https://www.encodeproject.org/files/ENCFF000VSZ/@@download/ENCFF000VSZ.bam	hg19			released		biological replicates with identical biosample		
