File accession	Assay
ENCFF212VRC	RNA-seq
ENCFF389YIY	RNA-seq
ENCFF297QCE	RNA-seq
ENCFF928NGK	RNA-seq
ENCFF376KWQ	RNA-seq
ENCFF309YOJ	RNA-seq
ENCFF802TLC	RNA-seq
ENCFF300NWS	RNA-seq
ENCFF428VBU	RNA-seq
ENCFF950OLC	RNA-seq
ENCFF000EXF	RNA-seq
ENCFF000EXG	RNA-seq
ENCFF523UIE	RNA-seq
ENCFF534AZT	RNA-seq
ENCFF690DZH	RNA-seq
ENCFF375NNN	RNA-seq
ENCFF990VAM	RNA-seq
ENCFF039XQM	RNA-seq
ENCFF251RPM	RNA-seq
ENCFF929RFI	RNA-seq
ENCFF000FAI	RNA-seq
ENCFF000FAJ	RNA-seq
ENCFF777FWJ	RNA-seq
ENCFF633GAJ	RNA-seq
ENCFF564DUX	RNA-seq
ENCFF504YPX	RNA-seq
ENCFF325IKA	RNA-seq
ENCFF281JCF	RNA-seq
ENCFF468YME	RNA-seq
ENCFF351KUH	RNA-seq
ENCFF000EYS	RNA-seq
ENCFF000EYT	RNA-seq
ENCFF409SGI	RNA-seq
ENCFF088TNQ	RNA-seq
ENCFF836AMM	RNA-seq
ENCFF429HEG	RNA-seq
ENCFF574ZPL	RNA-seq
ENCFF374CQT	RNA-seq
ENCFF705WOW	RNA-seq
ENCFF877XUC	RNA-seq
ENCFF367BKI	RNA-seq
ENCFF209TQU	RNA-seq
ENCFF000TVU	CAGE
ENCFF000TVX	CAGE
ENCFF200ZRH	CAGE
ENCFF580WIH	CAGE
ENCFF784MUM	CAGE
ENCFF830JMN	CAGE
ENCFF000FBU	RNA-seq
ENCFF000FBV	RNA-seq
ENCFF502ONK	RNA-seq
ENCFF022ZYI	RNA-seq
ENCFF792WWC	RNA-seq
ENCFF914PEL	RNA-seq
ENCFF436YHS	RNA-seq
ENCFF357JET	RNA-seq
ENCFF009TYW	RNA-seq
ENCFF312RXW	RNA-seq
ENCFF149PXU	RNA-seq
ENCFF038HHR	RNA-seq
ENCFF840IOC	ChIP-seq
ENCFF572PHE	ChIP-seq
ENCFF415ELX	ChIP-seq
ENCFF273TMW	ChIP-seq
ENCFF000OCD	ChIP-seq
ENCFF000OCK	ChIP-seq
ENCFF000NTO	ChIP-seq
ENCFF000NTR	ChIP-seq
ENCFF561WEE	ChIP-seq
ENCFF739NFP	ChIP-seq
ENCFF372NUB	ChIP-seq
ENCFF781LWK	ChIP-seq
ENCFF306XSF	ChIP-seq
ENCFF084WQP	ChIP-seq
ENCFF746YDX	ChIP-seq
ENCFF330CTW	ChIP-seq
ENCFF189AGH	ChIP-seq
ENCFF186XNP	ChIP-seq
ENCFF773BVT	ChIP-seq
ENCFF121WPI	ChIP-seq
ENCFF000IYA	RNA-seq
ENCFF000IYF	RNA-seq
ENCFF000ATG	ChIP-seq
ENCFF000ATH	ChIP-seq
ENCFF000AQZ	ChIP-seq
ENCFF000ARA	ChIP-seq
ENCFF231IAK	ChIP-seq
ENCFF651UIO	ChIP-seq
ENCFF858ORL	ChIP-seq
ENCFF684NLR	ChIP-seq
ENCFF000ASG	ChIP-seq
ENCFF000ASI	ChIP-seq
ENCFF620IUQ	ChIP-seq
ENCFF948GTC	ChIP-seq
ENCFF067FBS	ChIP-seq
ENCFF804NCH	ChIP-seq
ENCFF000ATT	ChIP-seq
ENCFF000ATV	ChIP-seq
ENCFF000ARR	ChIP-seq
ENCFF000ARS	ChIP-seq
ENCFF000ARY	ChIP-seq
ENCFF000ATE	ChIP-seq
ENCFF000AUR	ChIP-seq
ENCFF000AUT	ChIP-seq
ENCFF000EVY	RNA-seq
ENCFF000EVZ	RNA-seq
ENCFF595AWE	RNA-seq
ENCFF148TMK	RNA-seq
ENCFF709IUX	RNA-seq
ENCFF235OBA	RNA-seq
ENCFF244ZQA	RNA-seq
ENCFF923SVC	RNA-seq
ENCFF664VNB	RNA-seq
ENCFF271YOW	RNA-seq
ENCFF790WER	RNA-seq
ENCFF862SIX	RNA-seq
